uuid,source,orig_id,snap_dist,u,v,key,osmid,oneway,lanes,name,highway,type_highway,maxspeed,junction,length,from,to,ref,tunnel,bridge,service,access,road_width,est_width
d39b5e69-6291-46fc-a2f8-5947a7e024ee,Mapillary,1666317524185318,0.6192045038866523,4141747341.0,4362198429.0,0.0,"[432575528, 432575531]",False,,Tübinger Straße,residential,drive,30,,79.89,4362198429.0,4141747341.0,,,,,,11,
07968c89-5a2a-4913-a870-7eaab4830be5,Mapillary,1014949793367409,6.023652603040148,18240911.0,874512131.0,0.0,"[548746472, 697876495]",False,5,Rotebühlplatz,residential,drive,40,,30.846000000000004,874512131.0,18240911.0,,,,,,,
f8be9181-606c-4f23-88c5-2608d6cdea7b,Mapillary,2762100457273030,0.3747443379276284,352864054.0,425953452.0,0.0,9719608,False,,Silberburgstraße,residential,drive,30,,152.95499999999998,425953452.0,352864054.0,,,,,,11,
b9929935-7b0c-4c57-aca5-8f01fa37ee8b,Mapillary,1165840751204664,3.807493356126367,803772328.0,1343655776.0,0.0,"[779141058, 122461805]",False,3,Silberburgstraße,tertiary,drive,40,,120.11,1343655776.0,803772328.0,,,,,,,
c10b66a3-68bd-4dcf-9a86-6b17806e1dfc,Mapillary,1517629215831295,0.8714679345754857,3213216.0,3653281878.0,0.0,32812908,False,2,Tübinger Straße,residential,drive,30,,75.745,3653281878.0,3213216.0,,,,,,11,
9e59f7c8-e257-454f-8c92-be170551b40a,Mapillary,850322603100271,0.0060771595423653,299607355.0,1286347106.0,0.0,27292572,False,2,Tübinger Straße,footway,walk,30,,24.586,1286347106.0,299607355.0,,,,,,3,
5c7419a7-1eb3-4f51-bdd9-4a9d1f779fcf,Mapillary,481316367599393,8.363241270705208,12620698.0,1746675044.0,0.0,"[343956217, 343956218, 574480445, 120582823]",False,"['2', '3']",Silberburgstraße,tertiary,drive,40,,73.86900000000001,1746675044.0,12620698.0,,,,,,,
1d4e279d-be29-4841-8387-338380d8e4d1,Mapillary,1000464345048263,2.596397123328434,3213216.0,1557557230.0,0.0,432575532,False,,Tübinger Straße,residential,drive,30,,109.998,1557557230.0,3213216.0,,,,,,11,
1b7c5e34-f26d-4f36-ac1c-39e86d4d0aaa,Mapillary,1396928564313469,0.7816695226315243,3213186.0,4086371282.0,0.0,432379968,False,,Tübinger Straße,residential,drive,30,,36.81,4086371282.0,3213186.0,,,,,,11,
d7d15de2-f310-4425-9342-b39882cf1a94,Mapillary,445373105052397,2.8185997845626214,12722802.0,253227967.0,0.0,23387470,False,,Möhringer Straße,living_street,walk/cycle,,,81.713,253227967.0,12722802.0,,,,,,,
026520e1-9a76-4110-b413-d960e6402a09,Mapillary,1133863157714716,1.3441809059363563,3213224.0,1286347115.0,0.0,3992680,False,2,Marienplatz,tertiary,drive,50,,41.998,1286347115.0,3213224.0,,,,,,3,
5b98d3fe-b33b-4fc5-b7bd-0fa2bcd105c7,Mapillary,485731497515639,0.912999231168261,246647927.0,246647970.0,0.0,22909091,False,,Möhringer Straße,residential,drive,30,,57.809000000000005,246647970.0,246647927.0,,,,,,7.5,
3e736d74-dd8f-4715-b99a-936f355dc671,Mapillary,489141386945280,0.8175168410158518,3212462.0,249578202.0,0.0,346762344,False,,Tübinger Straße,path,walk/cycle,30,,26.816,249578202.0,3212462.0,,,,,,4,
dc319893-b358-4912-8d76-7216113af96d,Mapillary,974000961115644,3.783367209812647,12620706.0,288868464.0,0.0,990446427,True,"['2', '3']",Augustenstraße,residential,drive,30,,113.0,288868464.0,12620706.0,,,,,,9.5,
5e931a8d-7a23-4763-9e6d-736764d2b41c,Mapillary,1419127005466124,0.2485009311285123,3212329.0,3971371772.0,0.0,150035026,False,,Tübinger Straße,residential,drive,20,,81.92099999999999,3971371772.0,3212329.0,,,,,,5.5,
c5201d60-2e23-4243-87a4-954fc7ccc981,Mapillary,1409660647095500,2.114900626163482,12620701.0,12620706.0,0.0,"[581580388, 122461806]",False,"['2', '3']",Silberburgstraße,tertiary,drive,40,,57.729,12620706.0,12620701.0,,,,,,9.2,
db1c7a8f-d283-4d0f-bda4-f70d60706ae7,Mapillary,1656339628530936,5.733148773255727,20850513.0,3728206896.0,0.0,"[361333290, 673799125, 368981887]",False,4,Rotebühlplatz,residential,drive,40,,68.59100000000001,3728206896.0,20850513.0,,,,,,,
24cae8a9-04f5-4487-bbb2-562de380f6b3,Mapillary,462437353066378,1.6990368155260387,12620701.0,4378833272.0,0.0,122461806,False,2,Silberburgstraße,tertiary,drive,40,,21.226,4378833272.0,12620701.0,,,,,,9.2,
97efc8ad-21ac-4c6d-adc2-9ec807317522,Mapillary,846943653559331,2.260551686985563,803772328.0,1343655776.0,0.0,"[779141058, 122461805]",False,3,Silberburgstraße,tertiary,drive,40,,120.11,1343655776.0,803772328.0,,yes,,,,2.5,
3809c80d-7394-41a2-93fd-8c62b209587f,Mapillary,1418312295551765,1.173087714257395,803772312.0,2612510703.0,0.0,23279099,True,1,Herzogstraße,residential,drive,30,,14.511,2612510703.0,803772312.0,,,,,,9.5,
d9417538-cd5f-4c64-8a5d-11dc99b0a640,Mapillary,1183330716275511,4.028109887143331,31125031.0,11949582231.0,0.0,30264857,False,2,Silberburgstraße,tertiary,drive,40,,22.066,11949582231.0,31125031.0,,,,,,11.8,
3e778a02-5ef2-4180-a16f-df1015a46af3,Mapillary,504217845596840,2.137479748349357,96611005.0,3762698389.0,0.0,332373729,False,3,Tübinger Straße,footway,walk,30,,13.206,3762698389.0,96611005.0,,,yes,,,10,
7be3fe0e-e962-4279-929b-08d3cea54311,Mapillary,1510549809543334,3.4770393762643974,12620698.0,1746675044.0,0.0,"[343956217, 343956218, 574480445, 120582823]",False,"['2', '3']",Silberburgstraße,tertiary,drive,40,,73.86900000000001,1746675044.0,12620698.0,,,,,,,
adc306de-52c8-44cf-8f44-5e1abc046900,Mapillary,330004030172339,5.988785378256963,18240911.0,3728206896.0,0.0,234864582,False,4,Rotebühlplatz,residential,drive,40,,12.293,3728206896.0,18240911.0,,,,,,,
1c3b0169-9fbf-47f1-8e27-7743260507d1,Mapillary,1169186977655824,1.6425986632825866,4141747341.0,4362198429.0,0.0,"[432575528, 432575531]",False,,Tübinger Straße,residential,drive,30,,79.89,4362198429.0,4141747341.0,,,,,,11,
7046af87-1888-40b9-904c-cc32ddc69758,Mapillary,1150126416233475,5.329163083648407,12620706.0,288868464.0,0.0,990446427,True,,Augustenstraße,residential,drive,30,,113.0,288868464.0,12620706.0,,,,,,9.5,
14c82e89-ea47-4f5f-99c2-e04888652d29,Mapillary,1557869048494817,1.4459743916626453,7274535381.0,7274535383.0,0.0,"[883385872, 160214724]",False,,,footway,walk,,,12.826,7274535383.0,7274535381.0,,yes,,,,3,
ac9263d9-b0c6-417e-802f-9b5efe61cf98,Mapillary,483343130885198,5.965933669906956,7127827225.0,7274535383.0,0.0,779070637,False,,,footway,walk,,,159.863,7274535383.0,7127827225.0,,yes,,,,3,
0b0a384a-a082-4985-9647-1a8f91627315,Mapillary,1471447367586114,0.3442231776859931,20850512.0,1621899331.0,0.0,91136381,False,2,Theodor-Heuss-Passage,footway,walk,40,,13.862,1621899331.0,20850512.0,B 27a,yes,,,,,
86ae53c7-9f3d-4cf2-8aab-2497d0105c8c,Mapillary,1498926294053496,1.3447461851701437,20850510.0,3771682702.0,0.0,417405881,True,2,Theodor-Heuss-Straße,primary,drive,40,,23.767,20850510.0,3771682702.0,B 27a,yes,,,,3,
0c96a738-abbc-4c9c-a1e3-45a27f81b7b3,Mapillary,3926852070925164,0.6653815775662609,2959800595.0,12010077074.0,0.0,1278163209,True,,Augustenstraße,residential,drive,30,,78.463,2959800595.0,12010077074.0,,,,,,9.5,
d47bbcc4-2c98-42a2-9c63-9160cb379b0b,Mapillary,3800652013535060,1.1961857364077717,12620698.0,4358898120.0,0.0,120582805,False,2,Silberburgstraße,tertiary,drive,40,,43.213,4358898120.0,12620698.0,,,,,,12,
