,sequenceIndex,id
0,0,1142520003736119
1,1,1191738722177385
2,2,1521587175093874
3,3,776551304683530
4,4,414053584943540
5,5,1610765053100298
6,6,1108732750242312
7,7,1524255755172387
8,8,1191035052075235
9,9,1663177421167005
10,10,417443027938371
11,11,1714684216002690
12,12,1493317568233688
13,13,765111575818924
14,14,1161820114830624
15,15,780494117220951
16,16,1139259123856381
17,17,8618502004843479
18,18,2033572667038650
19,19,1861907904319167
20,20,425297020421187
21,21,766796598991756
22,22,460754320076694
23,23,1189948115520838
24,24,474787561877243
25,25,981367543235197
26,26,1464736377545908
27,27,376901955365451
28,28,3619009921696337
29,29,431066603085580
30,30,1681842439249304
31,31,789286099972083
32,32,3160643354069444
33,33,2253411461664954
34,34,3276605829301416
35,35,864891302135866
