,sequenceIndex,id
0,0,846364377406629
1,1,1206170597404217
2,2,1455289115356932
3,3,350084558134289
4,4,1155373795746280
5,5,1028602118885693
6,6,1388267558522490
7,7,439167048960883
8,8,448890881455465
9,9,1577680956140400
10,10,1009515524165129
11,11,1412858389417746
12,12,492510603433785
13,13,483228434254565
14,14,26037288735915567
15,15,517014677348644
16,16,491327683380894
17,17,2457029651155135
18,18,460110816768685
19,19,496072256269789
20,20,457148470415348
21,21,841650251252900
22,22,3442898376002545
23,23,2523086954551634
24,24,394369789774434
25,25,477628101582552
26,26,1517200372506389
27,27,497540772939028
28,28,455285394022612
29,29,509560001425336
30,30,2217640375259302
31,31,7778392525530822
32,32,374289561970935
33,33,3152991838166693
34,34,437332509123272
35,35,1225910355251193
36,36,1009928554128129
37,37,792258286352224
38,38,1160264931854706
39,39,991057595855559
40,40,482977354236454
41,41,3163485740449544
42,42,1842823859518514
43,43,923425762874548
44,44,787481366901005
45,45,3944166795815380
46,46,1019291719812975
47,47,1536613347293681
48,48,702896558627620
49,49,323339387508545
50,50,409174442270017
51,51,2119139015149378
52,52,429481196749580
53,53,305183795918086
54,54,1271925927560627
55,55,792125579673170
56,56,829588519128945
57,57,2245031945840131
58,58,8273808735983399
59,59,441791418755218
60,60,1118961252546301
61,61,880521730577700
62,62,1650278159057630
63,63,1010048424094615
64,64,1147779843148556
65,65,1463867037593290
66,66,1124918038598289
67,67,2872216672934186
68,68,843888700491364
69,69,982954600196752
70,70,1052479386242720
71,71,742997804499123
72,72,1937215306709090
73,73,489517483729473
74,74,1193940381800198
75,75,1218218062683735
76,76,460399143512980
77,77,1004368424160350
78,78,1007431697153142
79,79,870838371140972
80,80,824746579330894
81,81,850429753603842
82,82,386029267823766
83,83,785643507054708
84,84,1186577769011711
85,85,1394023601285982
86,86,1004366694244377
87,87,1230255074623369
88,88,498123552884859
89,89,487687667271728
90,90,508472784866271
91,91,404232605355014
92,92,997990268543930
93,93,2496545800734600
94,94,869127155026625
95,95,1191861291945102
96,96,1909877762772928
97,97,1543352706581985
98,98,1534417243951704
99,99,2141695206194067
100,100,474098815221477
101,101,1250027069495285
102,102,465799399533986
103,103,1656104525157169
104,104,1532331167669524
105,105,8115905461782229
106,106,1005505094550311
107,107,1148487092929039
108,108,1027539558948805
109,109,396003336819965
110,110,1031973918589803
111,111,1574766276433165
112,112,497531379376716
113,113,490222600199637
114,114,1909138852924217
115,115,1129055641490161
116,116,1240244586961362
117,117,786194400387176
118,118,1017693363238026
119,119,1447910716115810
120,120,1523499358567391
121,121,1403896190319035
122,122,2685973801561473
123,123,806594091454871
124,124,1236598057361787
125,125,489557030267834
126,126,465892256187457
127,127,999406585250634
128,128,1883266842101155
129,129,348428714792532
130,130,367970145997166
131,131,1003905315070079
132,132,8210629562333882
133,133,510143501540466
134,134,786548550215708
135,135,1036249121284560
136,136,1591210828109909
137,137,1177812110210894
138,138,1022988266006430
139,139,1854015025067529
140,140,7600595823371292
141,141,842816197266603
142,142,1190794169013827
143,143,1208531370158702
144,144,1734541150687188
145,145,469953075770946
146,146,808490038055519
147,147,474358055347630
148,148,1210136839979497
149,149,1155709325651980
150,150,791421566311022
151,151,7618591368251620
152,152,843252570564768
153,153,1009826407811992
154,154,513175891234449
155,155,946997493782687
156,156,1536887710519429
157,157,1012829660488759
158,158,1222812742406816
159,159,1526396361567990
160,160,1336570890687342
161,161,1699524747250397
162,162,3800652013535060
163,163,1169447710998260
164,164,3266523116988454
165,165,1168905074161782
166,166,3937333183216384
167,167,510649498086790
168,168,789540016662068
169,169,782535137421700
170,170,1901796796948681
171,171,988325652778998
172,172,1840332823154383
173,173,1170715360922040
174,174,1480588592552541
175,175,452169604375369
176,176,416764108025916
177,177,1521330418458847
178,178,1183330716275511
179,179,405479518539751
180,180,1687930062032885
181,181,2000112127070200
182,182,1856995651474763
183,183,476618841977884
184,184,332032293178187
185,185,1039832447571370
186,186,465998062803733
187,187,858822459438106
188,188,1295525685165965
189,189,363296033446103
190,190,3623108077954346
191,191,1206742317184311
192,192,1209615337067784
193,193,2259439067724249
194,194,446912744977889
195,195,1767085913695726
196,196,1622695801855673
197,197,998406094859355
198,198,803449345266100
199,199,855562776449987
200,200,842790307770217
201,201,2164372423920426
202,202,493338249754295
203,203,1530352757691885
204,204,1636858893780548
205,205,498396452637203
206,206,7763399833697546
207,207,1525354508399276
208,208,1552101762034781
209,209,850975150414343
210,210,1192925141846120
211,211,1218797452616065
212,212,1043974123830940
213,213,1845369749201770
214,214,1322102852081493
215,215,1008144437115073
216,216,446053144912284
217,217,820395226447670
218,218,989913739586939
219,219,500925625796571
220,220,2158555207849091
221,221,1184971949357977
222,222,1165840751204664
223,223,329586580207830
224,224,1524917004812893
225,225,789505163359683
226,226,1122995778761139
227,227,462400879832953
228,228,846943653559331
229,229,851968176263501
230,230,780152757625520
231,231,850720333778535
232,232,1518023375588942
233,233,498428466032146
234,234,1004430794718643
235,235,1193598888626277
236,236,1167876577588192
237,237,687536870220724
238,238,1054247189560236
239,239,1272302107079290
240,240,825081393021174
241,241,462437353066378
242,242,1124656531958689
243,243,1954477995072307
244,244,1207989513876753
245,245,468775405756950
246,246,467166329244088
247,247,1007826547454901
248,248,996711478562850
249,249,1870485570116518
250,250,7918949338144480
251,251,1409660647095500
252,252,1212829536542788
253,253,458661307114546
254,254,1052706186425712
255,255,1169613884366533
256,256,403271952743769
257,257,3836859326596330
258,258,1889414818211478
259,259,1235625044109269
260,260,864705002381010
261,261,823365723090557
262,262,399526669777212
263,263,1558203108068020
264,264,1434237337236318
265,265,1178582123451865
266,266,494462033095129
267,267,2531860523664825
268,268,1038858547798729
269,269,1411993716128904
270,270,791405229645281
271,271,439486942383492
272,272,804549891821665
273,273,860005509368630
274,274,3281859431948276
275,275,502616792448097
276,276,1811384699370477
277,277,774426651566530
278,278,356611054125915
279,279,1744359296095421
280,280,319532507794744
281,281,1454538115184341
282,282,1003298597623456
283,283,369195382860579
284,284,481062501135409
285,285,997681348238204
286,286,464685222976991
287,287,1252808859063743
288,288,1655798004982370
289,289,1012974930472199
290,290,1013004473858848
