,sequenceIndex,id
0,0,781829967089462
1,1,433261273015243
2,2,317026194696706
3,3,3817449135246569
4,4,832737688917100
5,5,354393481021837
6,6,777456917927907
7,7,1840869163052230
8,8,361811119902025
9,9,373507852505181
10,10,797614005797933
11,11,1154884485631217
12,12,1452330482074748
13,13,7860834893959797
14,14,473730508381604
15,15,766730588671525
16,16,1170335490926187
17,17,775404241420829
18,18,1041250197417874
19,19,839678408137898
20,20,768348325485575
21,21,8169819469728887
22,22,940678354526832
23,23,1512466036345841
24,24,999540718008349
25,25,1293078902097134
26,26,1695864757855961
27,27,838785481457207
28,28,848775337104399
29,29,2559512194229772
30,30,8019590161455601
31,31,1500752704202206
