,sequenceIndex,id
0,0,777868621208235
1,1,434716086069658
2,2,3731922913802929
3,3,1165049518137904
4,4,1032586614893113
5,5,1229665021732162
6,6,1538392263722125
7,7,976646573926959
8,8,1933422603786746
9,9,336860596126304
10,10,944013167477680
11,11,1605608443340631
12,12,816199573795953
13,13,838859354819611
14,14,785073166770683
15,15,469395622348870
16,16,1509444399641765
17,17,2791870034305154
18,18,1912583372497046
19,19,1890180238163771
20,20,2160692287597601
21,21,988811215961770
22,22,1180881389759846
23,23,1919457605173441
24,24,1422458225078116
25,25,1422774792454057
26,26,1143825490216530
27,27,26046427321637424
