,sequenceIndex,id
0,0,1007950500816683
1,1,494792796537901
2,2,2220499161635593
3,3,764576348937870
4,4,1873624123157707
5,5,954431699816494
6,6,1014393730350852
7,7,701503898777016
8,8,1043791137082251
9,9,1561987544350091
10,10,508667198473187
11,11,803112811598535
12,12,1470671457142847
13,13,1656410791869525
14,14,494658916576836
15,15,983194403541869
16,16,372307352201162
17,17,462508146595260
18,18,476934994946043
19,19,1192233501958437
20,20,504534498721475
21,21,1007794283869754
22,22,1718076829020604
23,23,910697104154033
24,24,1544625913152107
25,25,1023040146137362
26,26,8319926254686102
27,27,842997373969348
28,28,7149941208438929
29,29,786663156927544
30,30,515661954323105
31,31,2274027372935463
32,32,377085958726863
33,33,2170267296705950
34,34,847706033909349
35,35,1703940163751430
36,36,1693814848022806
37,37,493434779839690
38,38,1223678322137100
39,39,4501590660066404
40,40,1212456256438497
41,41,448037801528077
42,42,2821687214657967
43,43,2083922128671644
44,44,841345214140074
45,45,2560372724144404
46,46,848887107130809
47,47,1576871489526232
48,48,447292011502763
49,49,1054961132665702
50,50,298321259959630
51,51,1007504630895704
52,52,2748942951939300
53,53,497578632797874
54,54,362914606832790
55,55,496079272820737
56,56,3857668394511359
57,57,687075520242043
58,58,359167153892247
59,59,1984931811935953
60,60,1167877587750090
61,61,441947478734662
62,62,527504246275607
63,63,460860119888890
64,64,8238683762829887
65,65,1164244104777753
66,66,335050706326388
67,67,457264573758905
68,68,466196389451031
69,69,404098062635248
70,70,350354588104721
71,71,831203148952172
72,72,328895916942537
73,73,465300916437911
74,74,1166434837813649
75,75,970711208128404
76,76,1156488058991924
77,77,292850690516850
78,78,1000855144564868
79,79,988523966260305
80,80,1182146016428855
81,81,1004232607760119
82,82,2125238517861911
83,83,8659235840770389
84,84,503890868779724
85,85,2505346283008638
86,86,3849525528624834
87,87,1044564053909075
88,88,846111320274536
89,89,394812510270166
90,90,494401526334193
91,91,1524937428058381
92,92,2381345388742720
93,93,482161551035937
94,94,3726878630924356
95,95,3804129613135856
96,96,7607007586056460
97,97,525329823509595
98,98,1010694697182057
99,99,1188054889151392
100,100,840816077559687
101,101,8071027123018112
102,102,1162653454973897
103,103,1197993401322614
104,104,853326340021019
105,105,1500369280590334
106,106,1169729250932845
107,107,292647407207551
108,108,457667917080575
109,109,947079527103899
110,110,398774316000785
111,111,1028359298893901
112,112,506551571815768
113,113,2137730816626982
114,114,852086020131081
115,115,1249775099725727
116,116,499954699199283
117,117,1833359760482722
118,118,1634803677357305
119,119,882909820396315
120,120,7804515996303956
121,121,343275058819352
122,122,885472183626475
123,123,1832152573858870
124,124,1210603227020216
125,125,491558319953152
126,126,1003844451468547
127,127,777859511205610
128,128,1275579470084336
129,129,404732862611708
130,130,842235204659863
131,131,1227757751918967
132,132,3287397534731001
133,133,451966637645112
134,134,757845846289330
135,135,474704378651558
136,136,1028776652306366
137,137,861484709201589
138,138,841485487890965
139,139,452924271002723
140,140,498602686183825
141,141,493254790051772
142,142,2524763484383174
143,143,895600382380774
144,144,838030908300900
145,145,405759288539337
146,146,1507717313513423
147,147,826760799549984
148,148,930423892462678
149,149,474531478625221
150,150,489906873702859
151,151,398163743273876
152,152,996121745514329
153,153,439747742299140
154,154,1142449710199901
155,155,1025692442409430
156,156,448491914742541
157,157,1027007278947877
158,158,1027474151606247
159,159,1543118336587693
160,160,7900911633360308
161,161,217776608097472
162,162,827644415687853
163,163,1737807407023245
164,164,1830212204168802
165,165,467876906183962
166,166,7738856156233282
167,167,1847717135752132
168,168,767492738797560
169,169,3463055467288383
170,170,449722937873846
171,171,1004028647796652
172,172,1466388554247693
173,173,493884099809624
174,174,477538811585460
175,175,466545956092931
176,176,365089312994409
177,177,7975248195854112
178,178,1079991619748613
179,179,467394982601374
180,180,467937339211374
181,181,795610619368446
182,182,355746537555862
183,183,382991688135727
184,184,1027126645600292
185,185,1002941537994337
186,186,1395094337775113
187,187,452824740891438
188,188,846694747377165
189,189,488039223765842
190,190,1665032807582596
191,191,380462131725722
192,192,402584442812584
193,193,1489091748638730
194,194,2173848699661176
195,195,469540909120254
196,196,1609559073158351
197,197,406022035788205
198,198,994109105722112
199,199,398389286023607
200,200,800204835578530
201,201,453954940865384
202,202,1276064963372952
203,203,1004592907491186
204,204,453522554115913
205,205,8628093107206176
206,206,850837053573130
207,207,1215768076285240
208,208,451873751104214
209,209,1233339841376805
210,210,495603169710555
211,211,1025057435894940
212,212,775602744467660
213,213,783833740278431
214,214,1033426494868905
215,215,472422568844084
216,216,1014028046481027
217,217,1971117203342585
218,218,3676450892670717
219,219,450337704430513
220,220,502845758949339
221,221,889090089930179
222,222,7815603721854782
223,223,1500807970874179
224,224,443283625202033
225,225,1514948316095126
226,226,1901368833971036
227,227,470081422299267
228,228,871621804996339
229,229,1137773797506487
230,230,526225223086606
231,231,1879051185938726
232,232,306958202407048
233,233,1429195721123914
234,234,495903662956833
235,235,500941282321611
236,236,469162752480325
237,237,1463966600897145
238,238,1601942910538484
239,239,494629749591063
240,240,2075186302875941
241,241,811802534415325
242,242,351030141206771
243,243,457920503694520
244,244,1148790813045863
245,245,473867855278121
246,246,1218075822528822
247,247,456495870483860
248,248,335967816113502
249,249,1129036561653020
250,250,499385819327692
251,251,1518778548716932
252,252,998219361703890
253,253,1004979784500757
254,254,836846841718807
255,255,502055432259730
256,256,848251756822271
257,257,26089346387379328
258,258,995177761923366
259,259,830805868664311
260,260,468610879117152
261,261,1208566920062253
262,262,490198633595082
263,263,1026064515531673
264,264,1536278100333529
265,265,854795669918210
266,266,505367585258527
267,267,1632918294169753
268,268,1014872979991491
269,269,1005851514105012
270,270,1388156535159261
271,271,1468130127142205
272,272,1244110770316205
273,273,2126565827713915
274,274,512020794492383
275,275,501244632351163
276,276,999383364834526
277,277,485179724092238
278,278,1650376985813508
279,279,8709989272351678
280,280,879409280883205
281,281,1113823999713290
282,282,1457659224860999
283,283,1711085926325321
284,284,3403218559981232
285,285,1136793187429960
286,286,1007267067249694
287,287,1008730243709104
288,288,432418012812312
289,289,1006478224453603
290,290,880423713900158
291,291,947432737152753
292,292,1644229373096558
293,293,2683873755124809
294,294,1005011174595544
295,295,1145590926553282
296,296,367315566388213
297,297,447512844867353
298,298,550402487354210
299,299,8717936931554212
300,300,988497436302232
301,301,1210981839902127
302,302,2252968425042870
303,303,392462393847514
304,304,307294982374550
305,305,1523251578598456
306,306,728558449314018
307,307,945952810633849
308,308,453709097501879
309,309,1702877476909992
310,310,1274743996820455
311,311,473406778619643
312,312,804571715094512
313,313,1878165232684866
314,314,452282717689169
315,315,1555134302020042
316,316,530117702677078
317,317,454388804037932
318,318,7704802516241062
319,319,2529173390611429
320,320,1193542584980828
321,321,2610237312481451
322,322,1607140003465701
323,323,2224128664637888
324,324,865356265454307
325,325,994371212186336
326,326,2134936733541448
327,327,3343974705908132
328,328,7475955515843281
329,329,855785366653233
330,330,1407767046589616
331,331,4015456222023853
332,332,1966576897117061
333,333,8195751183808673
334,334,1077524503753715
335,335,798440312435471
336,336,499276502771724
337,337,803673701747811
338,338,444786545090494
339,339,1152607695795666
340,340,406527325116565
341,341,995586142351048
342,342,925810422923737
343,343,450577391267174
344,344,451503024467791
345,345,447991808148576
346,346,1393483324659501
347,347,900268118572853
348,348,450581074420022
349,349,408168094943364
350,350,1516644679220798
351,351,1123819542022196
352,352,1013032369974382
353,353,3847565602232905
354,354,1032052625265137
355,355,1403756566963948
356,356,699795058958936
357,357,1024568305698583
358,358,1919392915170521
359,359,1151804819237228
360,360,8087609651289361
361,361,1242570247121339
362,362,968434164971037
363,363,1524756801442501
364,364,333872059779986
365,365,388574267663839
366,366,3343614262613133
367,367,453741274174109
368,368,456820187148634
369,369,1007701590493014
370,370,1571772260385783
371,371,509640078153746
372,372,292923803843128
373,373,503308039021430
374,374,1177232383428380
375,375,852251936241153
376,376,791311983162881
377,377,1667397640762873
378,378,397010782842566
379,379,2226032707748561
380,380,1252054585778717
381,381,1193470181808691
382,382,981533787031114
383,383,1198612761495412
384,384,1411308202894055
385,385,339509532532868
386,386,419134604458199
387,387,1520771068864898
388,388,1277292776937742
389,389,453344527483852
390,390,1465209250868000
391,391,459163126825957
392,392,884177757086393
393,393,2904722159679858
394,394,1192564331773643
395,395,1172143617366962
396,396,1021699025983324
397,397,466420036174419
398,398,923326469807792
399,399,3871298103104988
400,400,410250914697613
401,401,450565684561624
402,402,3840865602809601
403,403,3767230873519861
404,404,448861894779311
405,405,1649323369238583
406,406,2775526625957990
407,407,1422685338440763
408,408,1026475835661577
409,409,1215707689429073
410,410,991117339134467
411,411,994789502388189
412,412,1217295776302389
413,413,7740700579381452
414,414,3417616325210677
415,415,1432072724147423
416,416,1027792402349446
417,417,511027528016049
418,418,1673148166850696
419,419,510980064593279
420,420,2357481764592925
421,421,815437480794294
422,422,2181783815532443
423,423,995301998916028
424,424,1249252813106980
425,425,945011807308637
426,426,1231145974964705
427,427,850254370348587
428,428,1842749622870189
429,429,1161271625139090
430,430,514789944221056
431,431,1004644674163757
432,432,1464801441066674
433,433,913802527174758
434,434,787637743358707
435,435,1493019201304547
436,436,449918804663148
437,437,403891586000203
438,438,1018682319617455
439,439,1160046925241398
440,440,1518842748727848
441,441,1199158151511326
442,442,1045753796973503
443,443,963459062194378
444,444,1003052744415329
445,445,828327615913115
446,446,787618113224223
447,447,1636577157162964
448,448,339081375905428
449,449,444821631779523
450,450,512486154513025
451,451,357277120737624
452,452,919439236609918
453,453,293006887168732
454,454,1217085829468547
455,455,794867189443231
456,456,6360729210717470
457,457,998008631968965
458,458,850471720333103
459,459,1460020054624560
460,460,873724661241419
461,461,400147769713768
462,462,1758212304588028
463,463,2150427055326722
464,464,2261012887589392
465,465,908642517691138
466,466,1136498000747307
467,467,1278665819794721
468,468,454721857366465
469,469,841387890811911
470,470,1947471765688308
471,471,466416529478103
472,472,981833250091013
473,473,1002581057746500
474,474,1148601046218978
475,475,1025992555768322
476,476,841185064171957
477,477,476521691630366
478,478,1212434019794130
