,sequenceIndex,id
0,0,420596764291913
1,1,840225261319070
2,2,453806470628569
3,3,2743241259185513
4,4,367979382526027
5,5,392109919848703
6,6,463230872954128
7,7,354162147351587
8,8,475014981816094
9,9,1010204263297476
10,10,447027768056542
11,11,754782176732226
12,12,1645653532878544
13,13,844874247521237
14,14,999406511519153
15,15,1001433364839477
16,16,1181556346203702
17,17,2766530793501326
18,18,956472022878231
19,19,1125851955292095
20,20,866014772016246
21,21,1024696092612336
22,22,467746215788824
23,23,858522622762331
24,24,1622685454960065
25,25,480010047810399
26,26,414780104882532
27,27,815901760493933
28,28,376794175384814
29,29,1654442725300071
