,sequenceIndex,id
0,0,456810036991004
1,1,1514332682454630
2,2,748040783942608
3,3,1542528756607274
4,4,7862505713816080
5,5,670507495257073
6,6,441561665440239
7,7,834608382051834
8,8,430128456526011
9,9,793887149541466
10,10,3805556976348399
11,11,3740591729522112
12,12,1664220477714014
13,13,355523007559100
14,14,340170615783541
15,15,482289157814845
16,16,440479522082279
17,17,844918197499480
18,18,442765605280053
19,19,1382943669048145
20,20,282602871542372
21,21,346214218507359
22,22,357426087368024
23,23,848232093866692
24,24,1753750832102640
25,25,434913736117607
26,26,934915525101355
27,27,1013240773558260
28,28,482816697594109
29,29,448437638134641
30,30,1649473035840917
31,31,1135545840994296
32,32,502331398887031
33,33,1589327975191450
34,34,1634012197362641
35,35,989370732436432
36,36,442875261878133
37,37,2400665633457832
38,38,769540385338709
39,39,1493221184646053
40,40,973072884297619
41,41,1381899502468053
42,42,456091117364560
43,43,976941687230978
44,44,735719231888563
45,45,2189270768101196
46,46,389690636873851
47,47,1589267471671401
48,48,978206874010665
49,49,847278963934937
50,50,1840072156502426
51,51,1671975020272098
52,52,990066332772823
53,53,1148094949814081
54,54,446066161534156
55,55,1543157176237565
56,56,410792338626683
57,57,1585610342007619
58,58,449840394504377
59,59,992159059131847
60,60,431538046432228
61,61,439903402216302
62,62,7889881067739975
63,63,486469697383228
64,64,308592405658267
65,65,325148667300237
66,66,1056237339434303
67,67,1637359213796489
68,68,752189427114253
69,69,447352341591597
70,70,764688815552160
71,71,452960874146315
72,72,358524100273662
73,73,1644023016397417
74,74,1003075078492032
75,75,1862710467581945
76,76,1000067221723886
77,77,1490141984919288
78,78,373913815707190
79,79,477365321343788
80,80,1595173961214884
81,81,1182735656382758
82,82,782173657319365
83,83,1454341751865979
84,84,322974714200861
85,85,850392683642490
86,86,311786445234828
87,87,854196106764457
88,88,4201767970049612
89,89,1426896451303126
90,90,1037584304456376
91,91,1636184913589759
92,92,370301369003504
93,93,1039335684284198
94,94,1913480579122458
95,95,987541206014527
96,96,775220504797812
97,97,3908694786019994
98,98,824804342932649
99,99,3947382298823942
100,100,481899387850775
101,101,1517021652226792
102,102,480125237873140
103,103,1572240669999409
104,104,465898142809084
105,105,2320674398263840
106,106,485798583957918
107,107,3405475619584865
108,108,1476912539855620
109,109,1544095339480248
110,110,1670965200337976
111,111,435357965971219
112,112,993734429155193
113,113,379531231804258
114,114,1181583226602101
115,115,457108023687175
116,116,381060881641705
117,117,7908605219199161
118,118,962543899027841
119,119,8570123603002390
120,120,916524596903499
121,121,291640407365304
122,122,443094918515443
123,123,2450478675153216
124,124,1491143688160660
125,125,712789854251460
126,126,2195382024128973
127,127,480958250979066
128,128,8139145179450690
129,129,485522433833192
130,130,999017365269705
131,131,1004704154661416
132,132,803207715269888
133,133,966087148548325
134,134,485441180691162
135,135,987999532572406
136,136,1042298870896833
137,137,1192330308619487
138,138,823552706030363
139,139,353768537819141
140,140,1305863430121879
141,141,1114404209654348
142,142,990773069112980
143,143,767997991906215
144,144,315709274942289
145,145,346480655138260
146,146,1151059822868210
147,147,268552512982483
148,148,478841224533014
149,149,893127522588599
150,150,962620312027856
151,151,492470246533306
152,152,478573688042590
153,153,3392760991026308
154,154,846144504230167
155,155,2168055306902815
156,156,2261191820897849
157,157,484410600611603
158,158,3298072947155769
159,159,268557556347268
160,160,422578917430283
161,161,1498096207457621
162,162,814758160602217
163,163,1006152080950745
164,164,1200808354672502
165,165,483186770954383
166,166,1027931928680260
167,167,1465643144156174
168,168,395739909529491
169,169,838402304841420
170,170,1026621092127998
171,171,358675706926769
172,172,1934783947023771
173,173,1679244609552433
174,174,1737058003368726
175,175,1623150405085988
176,176,2692899727545291
177,177,857415466433616
178,178,883283906966389
179,179,1403822936950719
180,180,386651834402763
181,181,7497907456998049
182,182,1214204549753068
183,183,1371205006889180
184,184,981202880208429
185,185,872441164694879
186,186,1735907513878133
187,187,338739542610017
188,188,441713035424283
189,189,3926852070925164
190,190,499070845806147
191,191,444592005030281
192,192,454585103872909
193,193,2134700763583296
194,194,424576723900523
195,195,1149822796328158
196,196,1787734048422420
197,197,1907173449731507
198,198,1405741870099533
199,199,836678997818528
200,200,458200636823164
201,201,434559302731789
202,202,1227264564906918
203,203,321039741058672
204,204,381401104922703
205,205,1694018888064994
206,206,386696577720038
207,207,442805822014640
208,208,1631718204270832
209,209,999620331815866
210,210,1632936910841078
211,211,977567773839037
212,212,345997618521041
213,213,769243825377111
214,214,827434112236318
215,215,487893786990482
216,216,1150126416233475
217,217,1163294194821135
218,218,816052920466000
219,219,1901209713727210
220,220,835650938474139
221,221,7937855942948382
222,222,1066897878335406
223,223,1407594199958954
224,224,994566688929401
225,225,444563795016865
226,226,430142336656430
227,227,490561350057125
228,228,1178438896911214
229,229,1485160412207113
230,230,344058845377638
231,231,419830677691352
232,232,483897100964715
233,233,415822401445527
234,234,844324420911771
235,235,794406562787558
236,236,1964297397322632
237,237,491791606614134
238,238,420895420937378
239,239,439111285557758
240,240,1462476734447910
241,241,1235757974074651
242,242,818376053260825
243,243,338989805744876
244,244,561465046373839
245,245,1007518564146016
246,246,1459734201318891
247,247,974000961115644
248,248,358078330635047
249,249,849020737088492
250,250,1688832235260840
251,251,1116636062744781
252,252,904431498362223
253,253,1155495629215211
254,254,457199913579877
255,255,492773613173141
256,256,976482790928124
257,257,8156229421077439
258,258,452854824146787
259,259,352101230986238
260,260,498710462580031
261,261,1118022155924441
262,262,380873261185256
263,263,1515022892778432
264,264,729981945825070
265,265,1027902628756380
266,266,1658266028269290
267,267,1193368932111143
268,268,3747014072203610
269,269,788116016637688
270,270,443942125169518
271,271,259511710574149
272,272,3586189641642492
273,273,1184598059405589
274,274,975915334254946
275,275,839895087470780
276,276,804460965127060
277,277,971511608006545
278,278,1550595339205471
279,279,1007047851008435
280,280,382594484300049
281,281,851310633531623
282,282,1538668357048770
283,283,2582072265309628
284,284,2181366235530913
285,285,1136744587441280
286,286,1395555430993169
287,287,7603338133119337
288,288,1671797606981753
289,289,834122114777755
290,290,1034055614992273
291,291,1385396958817746
292,292,1557869048494817
293,293,1025343362533078
294,294,1515165799416738
295,295,1459385814782176
296,296,829685655359663
297,297,1527844718160685
298,298,1116930172938331
299,299,2753710558117570
300,300,1197031817989399
301,301,345654145221015
302,302,918387366720865
303,303,1126870691911893
304,304,3813972912259454
305,305,813499334053001
306,306,1031402625171080
307,307,483343130885198
308,308,501623048855477
309,309,1116044256174764
310,310,423302447242735
311,311,487418220431069
312,312,1504420020459826
313,313,495116739558173
314,314,932972601848338
315,315,752593740134349
316,316,484611063970562
317,317,760899369451904
318,318,8168377563173234
319,319,443923318428827
320,320,1375505209785679
321,321,433521236311708
322,322,1246860272947471
323,323,2255237181542054
324,324,439966235654978
325,325,471254065489414
326,326,382440390971822
327,327,1152151276040101
328,328,1033698754854322
329,329,1382496022417689
330,330,447114614805046
331,331,764483405851226
332,332,453856470608322
333,333,1160369421755070
334,334,858846149598157
335,335,817556710044235
336,336,2699366130262124
337,337,1186054222401723
338,338,784811903758591
339,339,843726144329455
340,340,974422047715849
341,341,8586720808008796
342,342,485329300737860
343,343,876708127810187
344,344,451130970962002
345,345,452639610738617
346,346,781613890810471
347,347,809330924508235
348,348,1418312295551765
349,349,971955161080560
350,350,783502603936168
351,351,757363726306389
352,352,1194290778421675
353,353,440101435522334
354,354,1242781747128813
355,355,900792935140055
356,356,328269993669904
357,357,1296668574438731
358,358,815426703587462
359,359,3797251080564587
360,360,488885293819216
361,361,1010315917365141
362,362,382700701467064
363,363,858088896161266
364,364,443064415167822
365,365,1187051905759241
366,366,1205218670831658
367,367,1555242525032152
368,368,2251392655207193
369,369,840686344076770
370,370,2779435772205099
371,371,1328627468093880
372,372,3873596049541841
373,373,3618676395011245
374,374,778164934304539
375,375,1000461748133755
376,376,1053274139488347
377,377,455728643728042
378,378,956756346245773
