,sequenceIndex,id
0,0,360711283707360
1,1,989142915954144
2,2,7664374543648561
3,3,1900524643723625
4,4,1017770766533891
5,5,1208207153674348
6,6,1138995944039332
7,7,848162613826614
8,8,403070532056105
9,9,1634505997341402
10,10,455672817162757
11,11,1156781275535200
12,12,1022980496211260
13,13,346316931830381
14,14,1184603712965038
15,15,452993987352252
16,16,1149566012921694
17,17,7701903153197587
18,18,945323057281319
19,19,477108705008563
20,20,441912022033701
21,21,1054154599600062
22,22,1405832073464110
23,23,1679981515740387
24,24,302325082956679
25,25,991157006001057
26,26,492240959973371
27,27,1133524457917767
28,28,400896672292423
29,29,1142669890340271
30,30,500208902435530
31,31,1115660759736468
32,32,1304536394267317
33,33,867748141847414
34,34,830141695681652
35,35,1180552640028901
36,36,354902134014178
37,37,1576809512901368
38,38,1194856981689674
39,39,1676855322853433
40,40,1160342225205008
41,41,1218376049328799
42,42,785831053664630
43,43,1185824712613305
44,44,3936709833225646
45,45,485931857453424
46,46,3810785225850869
47,47,3463724490587847
48,48,874761571129802
49,49,3753908944877803
50,50,1829545547536864
51,51,1022734509458385
52,52,7840667672642913
53,53,1125980241796088
54,54,1383573398885918
55,55,1546801459211381
56,56,301910139667078
57,57,1180184090002172
58,58,1156416222230395
59,59,3736845379919533
60,60,1675601256602245
61,61,2107686816284995
62,62,7705373696233711
63,63,492644000093279
64,64,1809716626178281
65,65,3881691425386222
66,66,450997940892950
67,67,3001342026675642
68,68,790266643087072
69,69,848578727189796
70,70,814696433945860
71,71,486571980402359
72,72,1012425080315217
73,73,1137235107332133
74,74,1164274998222624
75,75,2434530853420921
76,76,449908754336859
77,77,1214022546296978
78,78,438554142387780
79,79,989213546086039
80,80,847494143480594
81,81,1576518749560607
82,82,2176034329428259
83,83,782673537188564
84,84,2726765587480818
85,85,467368616042512
86,86,1521861985065329
87,87,1124034465558489
88,88,1228801885154607
89,89,501959492176201
90,90,362954443564819
91,91,1223142132188212
92,92,485208180539923
93,93,3678035779112208
94,94,332692329880958
95,95,1017641063068353
96,96,565879196007870
97,97,7731443020285165
98,98,992656839020377
99,99,1923085248115251
100,100,793894312831438
101,101,8518473441501945
102,102,507795061582736
103,103,1031684138520287
104,104,1165616394562156
105,105,1513007286320880
106,106,388882027502368
107,107,1448577566027237
108,108,1170196117638268
109,109,456418907098135
110,110,1510549809543334
111,111,1014794180257053
112,112,1637763167010224
113,113,820591476366340
114,114,1212906689719646
115,115,989394889208564
116,116,1002329761507733
117,117,836364441725429
118,118,1123453988945382
119,119,911474507657870
120,120,483521944124807
121,121,432302479705816
122,122,835053524683422
123,123,462659569825341
124,124,1309751236650188
125,125,1904997549921392
126,126,1281504736146635
127,127,1302743154018830
128,128,1865621223905590
129,129,3721325121441326
130,130,1656323121855627
131,131,790870762845115
132,132,1547738609428943
133,133,735003575286990
134,134,3902997809930679
135,135,1037606957991330
136,136,26520858557512803
137,137,777816857671215
138,138,1551326802265111
139,139,989619542643410
140,140,995380995147779
141,141,424559850447326
142,142,500982952265034
143,143,493128919959234
144,144,427544116934862
145,145,978336720416877
146,146,3622573634699160
147,147,481316367599393
148,148,1640227856744150
149,149,2205002276512709
150,150,438875918957741
151,151,985829826884172
152,152,2558346547678816
153,153,989488855878651
154,154,1882859548878204
155,155,392863559851951
156,156,976082567725856
157,157,1008559940930575
158,158,1163697678086360
159,159,986116052818821
160,160,976521627527707
161,161,830082825290631
162,162,829783329097815
163,163,1534439290785227
164,164,474729918577008
165,165,1052762199610583
166,166,2071241353271725
167,167,339769578997590
168,168,389590657440087
169,169,7975848345811311
170,170,1639820100106749
171,171,8069559783075194
172,172,3785876581657861
173,173,1200880384261699
174,174,8075964309115357
175,175,1027721755638027
176,176,825751065820694
177,177,7640135609403789
178,178,739259751509904
179,179,1493503944610139
180,180,1275002380129675
181,181,399194395813427
182,182,1500416757534589
183,183,3641479742782508
184,184,1926374044485503
185,185,774643361325939
186,186,992146042201701
187,187,1161148541789568
188,188,999197604936530
189,189,833808051966775
190,190,783083020481463
191,191,3355887011375858
192,192,419836534377318
193,193,769170968707286
194,194,1434227820575547
195,195,2278984669114054
196,196,452176030787815
197,197,840436777940145
198,198,26219849984295485
199,199,1013992122907507
200,200,2687334494778206
201,201,3641006532829595
202,202,658067126525515
203,203,7702269929890841
204,204,1141278556932851
205,205,2025089618003960
206,206,1172142974210618
207,207,364999002901181
208,208,482770957734432
209,209,786178907051466
210,210,808894428015308
211,211,1278722133098625
212,212,841549707950446
213,213,458851563539731
214,214,764102145888365
215,215,360386390406381
216,216,4043708625856599
217,217,801871668710580
218,218,1995100354278515
219,219,1612036486003754
220,220,1129889794934197
221,221,961782745415511
222,222,1685980752229273
223,223,393142027064657
224,224,443283075148103
225,225,486796614010134
226,226,1612942069486113
227,227,796866059093559
228,228,1201780720709526
229,229,850529190283397
230,230,957261019473111
231,231,1137657640862294
232,232,790445736488737
233,233,1026669608823080
234,234,1653914772076510
235,235,367033683154998
236,236,838262661521878
237,237,1473281083552532
238,238,455135347266443
239,239,489619500293836
240,240,1560229651206619
241,241,1113732799718097
242,242,480584064454438
243,243,2013329922434313
244,244,481885657555565
245,245,1143112010331498
246,246,1851221368728129
247,247,476678301786221
248,248,820472390013406
249,249,3001860966622803
250,250,1133064207947071
251,251,2607982356075248
252,252,997964158625916
253,253,978201803854373
254,254,7935258283176636
255,255,467667879187651
256,256,1982343668888459
257,257,1546804482542273
258,258,834673271910307
259,259,1645398252861995
260,260,1025492315602473
261,261,3498583000441237
262,262,465281289526415
263,263,442672658712535
264,264,788789036699460
265,265,1524161078503076
266,266,946868213849531
267,267,489532500270792
268,268,1676463016488237
269,269,1608252316678123
270,270,7746054992180297
271,271,838158841702490
272,272,7365090636928620
273,273,828828648776923
274,274,487219693663530
275,275,448062664526716
276,276,778662401049131
277,277,926130719284060
278,278,465631712748887
279,279,1000004694969722
280,280,336243542854166
281,281,451770957800946
282,282,1087653002734548
283,283,1014823359545926
284,284,987311679545967
285,285,1159143858637304
286,286,1151821006144881
287,287,1010566907129317
288,288,466097159467898
289,289,3147991098670878
290,290,3640466049603210
291,291,1626414397922580
292,292,1158175212272973
293,293,991183869415612
294,294,742752827908691
295,295,938440671628065
296,296,1018353860136952
297,297,824753946257591
298,298,459764383665701
299,299,353416324184283
300,300,1154583109074134
301,301,1186079462817585
302,302,865855418704402
303,303,1472267300345500
304,304,483997857473373
305,305,1234908637882730
306,306,1246838466501754
307,307,823421776385861
308,308,1196579588370728
309,309,3288718474756672
310,310,1501312230484699
311,311,1673023663464330
312,312,351213291096821
313,313,995101345501048
314,314,1175958473542896
315,315,1013101760322709
316,316,2553459088193648
317,317,1440905506544124
318,318,783973233887590
319,319,1238727880464414
320,320,2082818458769649
321,321,933894848503807
322,322,1229981011504779
323,323,1136450847637713
324,324,841129191202887
325,325,389899110187016
326,326,792925232983560
327,327,1312035883085542
328,328,347900898115071
329,329,990470288959335
330,330,857161516264623
331,331,2696854387147689
332,332,708597098018464
333,333,1508231903094940
334,334,1831940357301842
335,335,1134416784314092
336,336,1907523066410587
337,337,350700791147618
338,338,1613399736115852
339,339,1011523180385563
340,340,995394738789992
341,341,2727292634103274
342,342,412188935146183
343,343,2496879587172283
344,344,446135248194871
345,345,389430647442027
346,346,347085868216296
347,347,1474883400082136
348,348,997480762042566
349,349,1718267225376144
350,350,3814757188813289
351,351,1026438272466613
352,352,1107552690337131
353,353,1183335573085329
354,354,1183226126052126
355,355,3913561605543038
356,356,1126412035254349
357,357,486781624003974
358,358,1744755502937468
359,359,1197533917944335
360,360,1472698093452473
361,361,1148942156348420
362,362,1410956156270462
363,363,469192969095180
364,364,8253518931327332
365,365,1298397778232422
366,366,433109719503581
367,367,3410081092627652
368,368,455668027104301
369,369,1502225240718319
370,370,1005844751200400
371,371,267906243046537
372,372,1951196625339602
373,373,1002085701532102
374,374,282909751510451
375,375,834190141464418
376,376,861277122702903
377,377,2845083362296315
378,378,1318852192852663
379,379,3827155544262658
380,380,484072353999580
381,381,946179077283739
382,382,479284001170975
383,383,989678416190312
384,384,455737990536611
385,385,1568196750576733
386,386,1119927285756363
387,387,868963808416830
388,388,1931235390654948
389,389,994591142191952
390,390,1151272156183944
391,391,864269252178288
392,392,481949954364185
393,393,1395736081818069
394,394,983106616457523
395,395,3382920712001102
396,396,1643174163195958
397,397,774367717890679
398,398,321404571018723
399,399,992448376133088
400,400,437204502515264
401,401,985839233008182
402,402,1710213139787719
403,403,967324964871315
404,404,760758619552467
405,405,494258186600526
406,406,986612709580572
407,407,1156132459022741
408,408,1417085765642930
409,409,3574964599432998
410,410,483385527492493
411,411,1598841127351999
412,412,1449602812339915
413,413,1967266210381133
414,414,397538416017033
415,415,495407559814348
416,416,835242168514247
417,417,841536881174830
418,418,1515358879403214
419,419,1133275687946540
420,420,1404930063556585
421,421,830354835819750
422,422,1629556107866480
423,423,3634128930173503
424,424,4005346239696878
425,425,2324591141064067
426,426,999710445070490
427,427,996045552174295
428,428,1652799402123668
429,429,1275503943427689
430,430,447599407984628
431,431,1133430071270468
432,432,462841499684161
433,433,2460539370802107
434,434,1117059259360990
435,435,840062987984573
436,436,822012983196646
437,437,434563399478169
438,438,2099373807111706
439,439,478013547976266
440,440,1835231270331008
441,441,773297018342996
442,442,480893214325593
443,443,1155412592371137
444,444,367285576002072
445,445,1190539992125434
446,446,1853805635041838
447,447,1181858046532023
448,448,2512517002283132
449,449,1864255554094724
450,450,385723921154773
451,451,343054028826924
452,452,1400837640632181
453,453,3679933418986730
454,454,7602047869843080
455,455,850183917143053
456,456,820155576723750
457,457,1475436093345676
458,458,3869580120030669
459,459,276877382179468
460,460,983851979947784
461,461,1144079383465492
462,462,3677626989143012
463,463,3713043128938465
464,464,1465476880756267
465,465,1042697017481683
466,466,388116844236087
467,467,812656397507961
468,468,958516182622031
469,469,1036534931168336
470,470,1002721467654307
471,471,495874209763614
472,472,303060896217469
473,473,323179637503374
474,474,8055501031156196
475,475,1902108403584670
476,476,3790483807890186
477,477,1142297343690888
478,478,2152556735118796
479,479,979616833953824
480,480,1179333140188876
481,481,467313162656256
482,482,837933051580534
483,483,990817959002620
484,484,1196738601483287
485,485,2510562582483760
486,486,856210189240375
487,487,7746703975399304
488,488,362165416538739
489,489,1132421294705028
490,490,1030970348541734
491,491,912441527317592
492,492,795048855734166
493,493,899809565497756
494,494,1169412864092499
495,495,1812273985851182
496,496,1000849371096441
497,497,1596259004266990
498,498,1004623931104882
499,499,1017311413125309
