,pt_idx,line_i,index,u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,from,to,ref,access,bridge,tunnel,service,junction,road_width,est_width,geometry_wkt,uuid,source,orig_id,city,city_ascii,city_id,city_lat,city_lon,country,iso2,iso3,admin_name,capital,population,continent,lat,lon,snap_dist,l_geom_wkt,og_pt_wkt,snp_pt_wkt
0,1725,2727,2727,1110031600,7386404874,0,47248795,,,footway,,False,61.565000000000005,7386404874,1110031600,,,,,,,2,,"LINESTRING (368118.2006524552 145025.28027546822, 368117.85664261354 145027.237252157, 368114.9568808853 145036.4920332284, 368110.98953583173 145047.02975196516, 368105.7765967779 145058.89471471103, 368098.2723729516 145072.60702328544, 368093.32483809855 145081.0004514665)",52db7cef-bead-4bc9-8f97-0ebf20f87d29,Mapillary,1199991311183935,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.312295484703327,103.81441712379456,4.357257130661534,"LINESTRING (368118.2006524552 145025.28027546822, 368117.85664261354 145027.237252157, 368114.9568808853 145036.4920332284, 368110.98953583173 145047.02975196516, 368105.7765967779 145058.89471471103, 368098.2723729516 145072.60702328544, 368093.32483809855 145081.0004514665)",POINT (368099.21299870685 145079.59192791942),POINT (368095.45932945894 145077.37931478562)
1,1726,2728,2728,1110031600,5138702697,0,528905423,,,footway,,False,39.253,5138702697,1110031600,,,,,,,2,,"LINESTRING (368091.8283228633 145045.92223144387, 368088.0945514117 145056.2608427136, 368086.89776658756 145066.6645845177, 368087.346535305 145074.44740574216, 368087.55887045315 145076.39306357835, 368088.37198464375 145078.17260495605, 368089.68565632135 145079.62024568825, 368091.39967441035 145080.59231248352, 368093.32483809855 145081.0004514665)",d2e2cf22-d785-44c6-84d4-d9a8226e1d9b,Mapillary,437530002378786,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3122204025476665,103.814315199852,0.701970750320338,"LINESTRING (368091.8283228633 145045.92223144387, 368088.0945514117 145056.2608427136, 368086.89776658756 145066.6645845177, 368087.346535305 145074.44740574216, 368087.55887045315 145076.39306357835, 368088.37198464375 145078.17260495605, 368089.68565632135 145079.62024568825, 368091.39967441035 145080.59231248352, 368093.32483809855 145081.0004514665)",POINT (368087.8679942461 145071.29663815233),POINT (368087.1671875648 145071.3370476782)
2,1727,22368,22368,9935081125,10661652683,0,1145688882,,,footway,,False,103.565,10661652683,9935081125,,,,,,,,,"LINESTRING (368104.1085269459 145201.77608097994, 368105.2202608291 145199.74135168892, 368104.6181711576 145197.14360761255, 368105.2294947724 145195.75033152915, 368107.03171025007 145194.99770642733, 368108.97868144553 145194.46612159276, 368109.41190511617 145192.9292092287, 368108.4099203779 145191.7578072707, 368107.1968165004 145191.20561037824, 368107.2623933904 145188.70704863893, 368105.4479339953 145187.10486964742, 368103.144946284 145187.7361223334, 368101.6217654116 145190.30170813948, 368099.9531261739 145191.16482435894, 368097.8496481646 145190.1597765443, 368094.6449181383 145189.8296332844, 368092.0299918926 145189.65398652395, 368090.70489957696 145187.58724669984, 368090.0468340132 145184.2709250775, 368087.9766214682 145183.02264166749, 368084.85036228213 145183.91961573018, 368084.41808262886 145187.4465080952, 368083.4404284748 145190.65305124896, 368080.29277027055 145193.352073348, 368079.76040034014 145196.9895677357, 368077.55853631656 145199.6881412583, 368073.35290166654 145200.4640178362, 368070.69344638113 145200.24417069514, 368068.16653929406 145197.96794759712, 368068.56582580705 145195.2591737109, 368070.03418976616 145194.4182631043, 368071.64697380597 145193.09084434618, 368071.9237114126 145190.0615206925, 368073.97015437414 145188.1147912409, 368077.5420700627 145188.43370466502, 368078.97675415105 145186.9626497011, 368078.7971647088 145183.67926733935, 368080.1760932798 145181.95396359515, 368079.39634919097 145180.1522957338, 368077.30386155745 145178.8598011131)",4bf96045-ed53-44d5-a4e8-7346148cb660,Mapillary,489920900360669,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3132501004858312,103.81428837776184,0.23441893995049706,"LINESTRING (368104.1085269459 145201.77608097994, 368105.2202608291 145199.74135168892, 368104.6181711576 145197.14360761255, 368105.2294947724 145195.75033152915, 368107.03171025007 145194.99770642733, 368108.97868144553 145194.46612159276, 368109.41190511617 145192.9292092287, 368108.4099203779 145191.7578072707, 368107.1968165004 145191.20561037824, 368107.2623933904 145188.70704863893, 368105.4479339953 145187.10486964742, 368103.144946284 145187.7361223334, 368101.6217654116 145190.30170813948, 368099.9531261739 145191.16482435894, 368097.8496481646 145190.1597765443, 368094.6449181383 145189.8296332844, 368092.0299918926 145189.65398652395, 368090.70489957696 145187.58724669984, 368090.0468340132 145184.2709250775, 368087.9766214682 145183.02264166749, 368084.85036228213 145183.91961573018, 368084.41808262886 145187.4465080952, 368083.4404284748 145190.65305124896, 368080.29277027055 145193.352073348, 368079.76040034014 145196.9895677357, 368077.55853631656 145199.6881412583, 368073.35290166654 145200.4640178362, 368070.69344638113 145200.24417069514, 368068.16653929406 145197.96794759712, 368068.56582580705 145195.2591737109, 368070.03418976616 145194.4182631043, 368071.64697380597 145193.09084434618, 368071.9237114126 145190.0615206925, 368073.97015437414 145188.1147912409, 368077.5420700627 145188.43370466502, 368078.97675415105 145186.9626497011, 368078.7971647088 145183.67926733935, 368080.1760932798 145181.95396359515, 368079.39634919097 145180.1522957338, 368077.30386155745 145178.8598011131)",POINT (368084.9374806489 145185.1357271865),POINT (368084.70480290666 145185.10720863723)
3,1728,4747,4747,1625964823,5040175163,0,516269474,,,footway,,False,75.761,5040175163,1625964823,,,,,,,,,"LINESTRING (368280.8866319419 145631.67148083594, 368281.3193964795 145629.17274592712, 368292.6534033045 145619.96923614328, 368331.3001010521 145602.31745757954, 368346.26306374755 145596.40674970622)",e480ce03-02db-4912-be6c-6370f531998a,Mapillary,1951970291929550,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3172348129858165,103.8160800933838,0.7863745680381138,"LINESTRING (368280.8866319419 145631.67148083594, 368281.3193964795 145629.17274592712, 368292.6534033045 145619.96923614328, 368331.3001010521 145602.31745757954, 368346.26306374755 145596.40674970622)",POINT (368284.51038746326 145625.56859234345),POINT (368285.0060952017 145626.17905020385)
4,1729,12666,12666,5146317039,5146317045,0,529822846,,,footway,,False,41.049,5146317045,5146317039,,,,,,,,,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",536778bc-ffba-4ef6-b495-4a7c659774b6,Mapillary,1002099964963521,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3162855617295008,103.81756603717804,2.1071799200609638,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",POINT (368449.80100199877 145520.5462766507),POINT (368447.6972157928 145520.42673245398)
5,1730,12645,12645,5138702697,7386404874,0,47248795,,,footway,,False,93.698,7386404874,5138702697,,,,,,,2,,"LINESTRING (368118.2006524552 145025.28027546822, 368119.77642803313 145016.29145245862, 368119.8525103407 145012.47728800014, 368120.37416472344 145009.7021242964, 368120.2619783941 145007.76747461615, 368119.582556199 145006.34164406036, 368117.0223890498 145004.31971029757, 368114.01760808646 145003.2819217143, 368108.3525115852 145000.211191361, 368106.38283957925 144999.80307287085, 368104.3911963481 144999.9919588398, 368102.5333546134 145000.76672004623, 368100.9984314261 145002.0388233491, 368099.89765486197 145003.71977249332, 368099.35333809024 145005.63262240202, 368099.6775869009 145008.93804697902, 368101.1592003927 145012.57458662477, 368102.5623697491 145015.03928620252, 368103.65405655396 145017.65890956178, 368105.146723703 145021.14066767157, 368105.90478397114 145024.14738963766, 368105.6852033825 145030.39382021324, 368102.4286815658 145038.1783966205, 368099.70449565945 145042.24809131768, 368095.72305380576 145046.51737990376, 368091.8283228633 145045.92223144387)",b982edb5-dd45-4e15-9383-ef78c8e39c0b,Mapillary,3814759118811073,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3117001904073078,103.8144224882126,1.7956867889465398,"LINESTRING (368118.2006524552 145025.28027546822, 368119.77642803313 145016.29145245862, 368119.8525103407 145012.47728800014, 368120.37416472344 145009.7021242964, 368120.2619783941 145007.76747461615, 368119.582556199 145006.34164406036, 368117.0223890498 145004.31971029757, 368114.01760808646 145003.2819217143, 368108.3525115852 145000.211191361, 368106.38283957925 144999.80307287085, 368104.3911963481 144999.9919588398, 368102.5333546134 145000.76672004623, 368100.9984314261 145002.0388233491, 368099.89765486197 145003.71977249332, 368099.35333809024 145005.63262240202, 368099.6775869009 145008.93804697902, 368101.1592003927 145012.57458662477, 368102.5623697491 145015.03928620252, 368103.65405655396 145017.65890956178, 368105.146723703 145021.14066767157, 368105.90478397114 145024.14738963766, 368105.6852033825 145030.39382021324, 368102.4286815658 145038.1783966205, 368099.70449565945 145042.24809131768, 368095.72305380576 145046.51737990376, 368091.8283228633 145045.92223144387)",POINT (368099.77871174423 145013.77922365122),POINT (368101.3392290268 145012.89081110357)
6,1731,12645,12645,5138702697,7386404874,0,47248795,,,footway,,False,93.698,7386404874,5138702697,,,,,,,2,,"LINESTRING (368118.2006524552 145025.28027546822, 368119.77642803313 145016.29145245862, 368119.8525103407 145012.47728800014, 368120.37416472344 145009.7021242964, 368120.2619783941 145007.76747461615, 368119.582556199 145006.34164406036, 368117.0223890498 145004.31971029757, 368114.01760808646 145003.2819217143, 368108.3525115852 145000.211191361, 368106.38283957925 144999.80307287085, 368104.3911963481 144999.9919588398, 368102.5333546134 145000.76672004623, 368100.9984314261 145002.0388233491, 368099.89765486197 145003.71977249332, 368099.35333809024 145005.63262240202, 368099.6775869009 145008.93804697902, 368101.1592003927 145012.57458662477, 368102.5623697491 145015.03928620252, 368103.65405655396 145017.65890956178, 368105.146723703 145021.14066767157, 368105.90478397114 145024.14738963766, 368105.6852033825 145030.39382021324, 368102.4286815658 145038.1783966205, 368099.70449565945 145042.24809131768, 368095.72305380576 145046.51737990376, 368091.8283228633 145045.92223144387)",bacde357-aff3-4716-8f0b-24e0318762d3,Mapillary,1468921293988195,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3118289026995311,103.81446540355682,1.2077311698559468,"LINESTRING (368118.2006524552 145025.28027546822, 368119.77642803313 145016.29145245862, 368119.8525103407 145012.47728800014, 368120.37416472344 145009.7021242964, 368120.2619783941 145007.76747461615, 368119.582556199 145006.34164406036, 368117.0223890498 145004.31971029757, 368114.01760808646 145003.2819217143, 368108.3525115852 145000.211191361, 368106.38283957925 144999.80307287085, 368104.3911963481 144999.9919588398, 368102.5333546134 145000.76672004623, 368100.9984314261 145002.0388233491, 368099.89765486197 145003.71977249332, 368099.35333809024 145005.63262240202, 368099.6775869009 145008.93804697902, 368101.1592003927 145012.57458662477, 368102.5623697491 145015.03928620252, 368103.65405655396 145017.65890956178, 368105.146723703 145021.14066767157, 368105.90478397114 145024.14738963766, 368105.6852033825 145030.39382021324, 368102.4286815658 145038.1783966205, 368099.70449565945 145042.24809131768, 368095.72305380576 145046.51737990376, 368091.8283228633 145045.92223144387)",POINT (368104.5606414625 145028.00667527737),POINT (368105.7676271076 145028.04910440792)
7,1732,2700,2700,1110029828,1110034484,0,47248795,,,footway,,False,70.349,1110034484,1110029828,,,,,,,2,,"LINESTRING (368092.10955241136 145099.31990112274, 368095.7199230967 145110.34046894632, 368100.3086252294 145119.58064601888, 368104.7312033797 145130.46816301104, 368104.90566161636 145146.3989770287, 368108.3718117394 145158.32615893608, 368112.0582002923 145165.39989578727)",6dafbbff-2e42-43d4-9189-24b0da07f781,Mapillary,955886666220388,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3127942446801055,103.81448686122894,2.2208256339670567,"LINESTRING (368092.10955241136 145099.31990112274, 368095.7199230967 145110.34046894632, 368100.3086252294 145119.58064601888, 368104.7312033797 145130.46816301104, 368104.90566161636 145146.3989770287, 368108.3718117394 145158.32615893608, 368112.0582002923 145165.39989578727)",POINT (368106.9988157161 145134.72837393417),POINT (368104.7781232356 145134.7526927225)
8,1733,12666,12666,5146317039,5146317045,0,529822846,,,footway,,False,41.049,5146317045,5146317039,,,,building_passage,,,,,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",5d7087fd-cdbd-4143-98f4-90eb3cb8a853,Mapillary,3527314194248572,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3160817676273524,103.81774306297302,1.0203048017014527,"LINESTRING (368469.8028633231 145496.4733481623, 368453.3076200738 145509.22808154608, 368449.86032672855 145513.5855565753, 368447.79315429815 145518.73836857057, 368447.53935189534 145523.2048839572, 368445.87228381133 145527.37357278718)",POINT (368469.48791507795 145498.00662362276),POINT (368468.8637946503 145497.1994708614)
9,1734,566,566,243414300,243415110,0,"[152301691, 481653398, 771534654, 771534655]","['2', '1', '3']",Farrer Road,trunk,70,True,211.027,243414300,243415110,,yes,,yes,,,,,"LINESTRING (366891.9397620248 144985.82089431674, 366906.2743512166 145015.287975838, 366918.500970925 145057.65781803263, 366927.12790835125 145088.21106225418, 366937.14654549496 145120.4772400613, 366938.16049617727 145123.3843483745, 366959.4311225953 145184.25674235524)",02c10631-2e86-4ca5-8009-4fece4b7ad49,Mapillary,1413767800024196,Singapore,Singapore,1702341327,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000.0,Asia,1.3124724640613294,103.8039404153824,2.653369669562111,"LINESTRING (366891.9397620248 144985.82089431674, 366906.2743512166 145015.287975838, 366918.500970925 145057.65781803263, 366927.12790835125 145088.21106225418, 366937.14654549496 145120.4772400613, 366938.16049617727 145123.3843483745, 366959.4311225953 145184.25674235524)",POINT (366933.47753157583 145099.7128155445),POINT (366930.9435044523 145100.49963009736)
