uuid,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
4c41ad31-03a0-4cf4-909e-5aebae0ab19b,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,9,0,0,5,0,6,0,1,0,2,0,0,0,3,0,0,0,0,0,0
4edd9d71-6c73-43b0-8367-ec360c3408a1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115e3ec7-c52d-4ceb-a567-e333ce47e0c9,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,2,6,0,0,0,0,5,0,1,0,0,8,0,1,0,0,0,0,0,0,0
c23b33d4-1b36-43a3-a166-de1386013b4a,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1
15a8dff1-8f72-4af3-b9b5-9b8c9af83104,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,0,1,0,0,6,0,3,0,0,11,0,1,0,0,0,1,0,0,0
b3c761e6-98b1-443a-b60f-6c49792fbbed,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,0,1
fb585bb8-aaa5-416b-880f-bd811ee85a09,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0
66f1dc4b-efff-4149-8a24-b230d5f949e6,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,9,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,4,0,0,13,0,0,0,0,0,0,0,0,1
feb31f70-8974-455d-91a9-467239747081,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
7603a0e5-fae1-4bff-8273-b85837cfbcf6,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,5,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0
