uuid,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
4c41ad31-03a0-4cf4-909e-5aebae0ab19b,0,0,29627,44406,0,0,0,0,35238,172900,0,0,0,3449631,0,843858,0,2740301,0,29606,227,0,0,0,1756182,0,0,944791,0,0,102125,0,0,0,0,67051,0,0,0,88376,0,0,0,0,0,82057,0,0,48440,0,38325,0,104263,0,0,0,0,0,926054,0,0,0,0,0,0,11503458
4edd9d71-6c73-43b0-8367-ec360c3408a1,0,0,0,0,0,0,0,0,0,0,0,17704,0,350376,0,0,0,0,0,14560,0,0,0,0,0,0,0,238692,0,2736,2490808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115140
115e3ec7-c52d-4ceb-a567-e333ce47e0c9,0,0,72535,0,0,0,0,0,0,0,23222,0,0,5823285,0,220153,0,3651130,0,0,0,0,0,0,432473,0,0,697292,0,0,0,0,0,0,43785,327127,0,0,0,0,0,0,0,0,664,78753,0,0,0,0,27710,0,0,0,0,333066,0,110057,0,0,0,0,0,0,0,11841252
c23b33d4-1b36-43a3-a166-de1386013b4a,0,0,6042,0,0,0,11260,0,0,0,7284,0,0,406376,0,34169,0,573998,0,3226,0,0,0,0,19458,0,0,491208,0,0,52036,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,1936,0,0,0,2811,1042,0,0,0,0,99335,0,0,0,0,0,0,0,0,359782,2071118
15a8dff1-8f72-4af3-b9b5-9b8c9af83104,0,0,44348,5752,0,0,0,0,0,0,1116,0,0,1482508,0,181000,0,638476,0,4264,0,0,0,0,0,0,0,161080,0,10740,379112,0,0,0,0,5532,11204,0,0,0,0,0,0,0,0,1336,0,1080,0,0,7436,0,6564,0,0,116616,0,29436,0,0,0,5640,0,0,0,3093240
b3c761e6-98b1-443a-b60f-6c49792fbbed,0,0,2799,0,0,0,0,0,0,0,0,0,0,387342,0,19593,0,563630,0,11832,0,0,0,1372,25512,0,0,480922,0,0,9752,0,0,0,0,8758,0,0,0,0,0,0,0,0,0,4028,0,0,0,0,0,0,0,0,27543,121886,0,5509,0,0,0,0,1168,0,351546,2023192
fb585bb8-aaa5-416b-880f-bd811ee85a09,0,0,0,0,0,0,0,0,47191,0,0,0,0,5877071,0,89081,0,2772200,0,2588,0,0,0,29750,597986,0,0,1110881,0,770,772603,0,0,0,0,59222,0,0,0,0,0,0,0,0,0,48295,0,0,18847,0,0,4059,110282,0,0,106898,0,0,0,0,0,0,0,0,0,11647724
66f1dc4b-efff-4149-8a24-b230d5f949e6,0,0,4953,0,0,0,57713,0,0,70845,0,0,0,6033240,0,296865,0,3701439,0,0,0,0,0,0,0,0,0,622225,0,0,14104,0,25376,0,11711,43979,0,0,0,0,0,0,0,0,0,38008,0,2462,0,0,18693,0,39482,0,0,804920,0,0,0,0,0,0,0,0,101988,11888003
feb31f70-8974-455d-91a9-467239747081,0,0,0,20254,0,0,0,0,0,0,0,453958,0,0,0,43838,0,600256,0,12445,0,0,0,0,0,0,0,434094,0,0,69004,0,0,5803,0,7832,0,0,0,0,0,0,0,0,0,3473,0,0,0,0,0,0,9820,0,7387,0,0,0,0,0,0,0,0,0,0,1668164
7603a0e5-fae1-4bff-8273-b85837cfbcf6,0,0,34506,61750,0,0,0,227,25382,169490,0,0,0,3518296,0,844145,0,3331246,0,0,0,0,0,20963,1901918,0,0,945451,0,12516,294189,0,0,0,0,0,0,0,0,61309,0,0,0,0,0,79172,0,0,51398,0,128935,0,104781,0,0,20413,0,0,0,0,0,0,0,0,0,11606087
e9a5ff7f-5f30-42ac-8371-299ec99bf40d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5592,0,485228,0,1556,0,0,0,0,0,0,0,495381,0,0,106000,0,0,0,0,1494,0,0,0,0,0,0,0,0,0,1286,0,0,0,0,0,0,0,0,0,127593,0,63192,0,0,0,0,0,0,0,1287322
973c2c32-55bb-4c51-af39-23493679d26f,0,0,175967,21707,0,0,17527,0,0,0,0,0,0,5653878,0,690252,0,2394950,0,16902,0,0,0,0,0,0,0,615295,0,30184,1450223,0,0,0,0,19667,43044,0,0,0,0,0,0,0,0,5670,0,19927,0,0,28357,0,24920,0,0,439888,0,111697,0,0,0,24070,0,0,0,11784125
4099bc32-1539-417f-abb7-f0e11fb4f543,0,0,118068,0,0,0,0,40,71528,0,0,0,0,986124,0,310852,0,614644,0,1972,0,0,0,0,275132,0,0,388696,0,0,155872,0,0,0,0,31864,2680,0,0,0,0,7176,0,0,0,18524,0,0,16568,9500,4172,0,28580,0,0,988,0,0,0,0,0,0,0,0,0,3042980
b46907dc-5c7a-4851-958f-96f71da9d6e8,0,0,0,0,0,0,0,0,0,0,0,0,0,5540058,0,0,0,3536772,0,0,0,0,0,0,0,0,0,572822,0,0,10261,0,0,0,0,20138,0,0,0,0,0,0,0,0,0,1154,0,91737,0,0,28541,0,0,0,0,1982113,0,105015,0,0,0,0,0,0,0,11888611
cbe01574-c449-41cd-adbf-7f0baafdc13e,0,0,74104,52252,0,0,74828,0,0,85059,0,0,0,6134736,0,452815,0,3496910,0,0,0,0,0,0,38875,0,0,484056,0,0,200889,0,0,0,0,12166,3258,0,0,0,0,0,0,0,0,338004,0,0,4397,14317,28046,0,25551,0,0,107384,0,112503,0,0,0,0,0,0,0,11740150
da99fd9c-8a91-4259-8018-ca6a5998026d,0,0,19384,0,0,0,0,9610,0,0,0,0,0,345848,0,10315,0,268125,0,1236,0,0,0,1061,101802,0,0,565990,0,44429,245696,0,0,0,0,6119,0,0,0,0,0,0,0,0,0,7096,0,0,0,0,10450,0,0,0,0,34453,0,0,0,0,0,0,0,0,348204,2019818
14eaed40-1030-48cf-b8e4-9141bccd2013,0,0,13643,95452,0,0,0,0,44037,199539,0,0,0,3556674,0,771295,0,2574071,0,152553,0,0,0,0,1822897,0,0,966341,0,0,125764,0,0,0,0,100302,0,0,0,78408,0,0,0,0,0,51138,0,0,49062,0,44649,0,107964,0,38979,4988,0,6004,692102,0,0,0,0,0,0,11495862
