,uuid,source,orig_id,mly_captured_at,kv_shotDate,datetime_local,lat,lon,timezone,utc_offset_s,calculated_day_night,hrs_aft_sunrise,hrs_aft_sunset
0,fc27f6bd-3315-43d0-ab7d-c2529bd09b03,Mapillary,487029289408518,1476450723870.0,,2016-10-14 15:12:03.870000+02:00,52.1024622854695,9.35609221458435,Europe/Berlin,7200.0,day,,-3.3
1,ee2b4204-62b0-4a10-973d-5fe5d2c9f606,Mapillary,1911949492302126,1534799403020.0,,2018-08-20 17:10:03.020000-04:00,43.99857230674508,-79.45789933204651,America/Toronto,-14400.0,day,,-3.07
2,eaa66d84-b317-4588-9e20-2b62aa22cfd8,Mapillary,4014873981891494,1601112890838.0,,2020-09-26 11:34:50.838000+02:00,47.902257281660695,1.910489201545716,Europe/Paris,7200.0,day,3.83,
3,e91e9014-37ab-48a2-bd7a-cddf9c5c399b,Mapillary,1613619158839928,1535058451567.0,,2018-08-23 17:07:31.567000-04:00,43.99958333838023,-79.45865571498871,America/Toronto,-14400.0,day,,-3.03
4,e13ead66-a9d1-4a5d-87b3-87481fabdf4a,Mapillary,251788460030794,1535058444267.0,,2018-08-23 17:07:24.267000-04:00,44.0000116710149,-79.45783495903015,America/Toronto,-14400.0,day,,-3.03
5,dbcc3663-49d1-4c05-a6ed-4dc3ae6f6061,Mapillary,162325112503024,1572855435549.0,,2019-11-04 09:17:15.549000+01:00,47.903616662123085,1.895501017570496,Europe/Paris,7200.0,day,1.6,
6,db090b0b-b6e9-4318-a432-225d83109542,Mapillary,227488628823257,1535058522544.0,,2018-08-23 17:08:42.544000-04:00,43.99963350362347,-79.4535380601883,America/Toronto,-14400.0,day,,-3.01
7,d784ff3c-b45a-424a-ac7d-eb366d8dd995,Mapillary,302823854649153,1507892933077.0,,2017-10-13 13:08:53.077000+02:00,52.10014247425656,9.355067610740662,Europe/Berlin,7200.0,day,,-5.39
8,d4cd4b7b-aec9-4525-b9d5-8bab201bf8c5,Mapillary,1573577382835548,1424599782000.0,,2015-02-22 11:09:42+01:00,47.90787078881385,1.901766657829285,Europe/Paris,7200.0,day,3.38,
9,be2527d0-0b21-4000-90eb-40f0d3e33367,Mapillary,762759514391120,1476523263019.0,,2016-10-15 11:21:03.019000+02:00,52.10457439499652,9.3546062707901,Europe/Berlin,7200.0,day,3.55,
10,a794bad2-a826-47c7-8417-54ef6e9d3fd5,Mapillary,1085842441905172,1535058450367.0,,2018-08-23 17:07:30.367000-04:00,43.999695245403046,-79.45855915546417,America/Toronto,-14400.0,day,,-3.03
11,a3ddd13d-a6bf-4abe-bc97-0e896ddbb58c,Mapillary,129497249124621,1539420279507.0,,2018-10-13 10:44:39.507000+02:00,52.103342068675545,9.3520849943161,Europe/Berlin,7200.0,day,3.02,
12,97fb0fd9-6b8e-480b-967b-ab86c89f427b,Mapillary,2643856569248041,1475935983352.0,,2016-10-08 16:13:03.352000+02:00,47.90784921339838,1.901434063911438,Europe/Paris,7200.0,day,,-3.07
13,964c05a7-364a-4a23-9e36-b9dae57e6709,Mapillary,216443753376621,1535058516465.0,,2018-08-23 17:08:36.465000-04:00,43.99931707599478,-79.45456802845001,America/Toronto,-14400.0,day,,-3.01
