,uuid,source,orig_id,h3_0,h3_1,h3_2,h3_3,h3_4,h3_5,h3_6,h3_7,h3_8,h3_9,h3_10,h3_11,h3_12,h3_13,h3_14,h3_15
0,fc27f6bd-3315-43d0-ab7d-c2529bd09b03,Mapillary,487029289408518,801ffffffffffff,811f3ffffffffff,821f17fffffffff,831f13fffffffff,841f139ffffffff,851f139bfffffff,861f1398fffffff,871f1398dffffff,881f1398d5fffff,891f1398d53ffff,8a1f1398d527fff,8b1f1398d520fff,8c1f1398d5205ff,8d1f1398d5204ff,8e1f1398d5204cf,8f1f1398d5204ce
1,ee2b4204-62b0-4a10-973d-5fe5d2c9f606,Mapillary,1911949492302126,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa682bffff,8a2b9aa682affff,8b2b9aa682abfff,8c2b9aa682ab9ff,8d2b9aa682ab8bf,8e2b9aa682ab8b7,8f2b9aa682ab8b3
2,eaa66d84-b317-4588-9e20-2b62aa22cfd8,Mapillary,4014873981891494,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666babffff,8a1fb666ba9ffff,8b1fb666ba9efff,8c1fb666ba9e5ff,8d1fb666ba9e5bf,8e1fb666ba9e59f,8f1fb666ba9e59a
3,e91e9014-37ab-48a2-bd7a-cddf9c5c399b,Mapillary,1613619158839928,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa682bffff,8a2b9aa682a7fff,8b2b9aa682a3fff,8c2b9aa682a35ff,8d2b9aa682a347f,8e2b9aa682a3447,8f2b9aa682a3444
4,e13ead66-a9d1-4a5d-87b3-87481fabdf4a,Mapillary,251788460030794,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa682bffff,8a2b9aa682a7fff,8b2b9aa682a5fff,8c2b9aa682a55ff,8d2b9aa682a54ff,8e2b9aa682a54cf,8f2b9aa682a54ce
5,dbcc3663-49d1-4c05-a6ed-4dc3ae6f6061,Mapillary,162325112503024,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bdfffff,891fb666bc3ffff,8a1fb666bc2ffff,8b1fb666bc29fff,8c1fb666bc29bff,8d1fb666bc29abf,8e1fb666bc29a97,8f1fb666bc29a90
6,db090b0b-b6e9-4318-a432-225d83109542,Mapillary,227488628823257,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa6823ffff,8a2b9aa6822ffff,8b2b9aa6822efff,8c2b9aa6822e1ff,8d2b9aa6822ec7f,8e2b9aa6822ec4f,8f2b9aa6822ec4b
7,d784ff3c-b45a-424a-ac7d-eb366d8dd995,Mapillary,302823854649153,801ffffffffffff,811f3ffffffffff,821f17fffffffff,831f13fffffffff,841f139ffffffff,851f139bfffffff,861f1398fffffff,871f1398dffffff,881f1398d5fffff,891f1398d5bffff,8a1f1398d5a7fff,8b1f1398d5a1fff,8c1f1398d5a1bff,8d1f1398d5a1a7f,8e1f1398d5a1a5f,8f1f1398d5a1a5c
8,d4cd4b7b-aec9-4525-b9d5-8bab201bf8c5,Mapillary,1573577382835548,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b9fffff,891fb666b83ffff,8a1fb666b81ffff,8b1fb666b81dfff,8c1fb666b81ddff,8d1fb666b81dd7f,8e1fb666b8036df,8f1fb666b8036db
9,be2527d0-0b21-4000-90eb-40f0d3e33367,Mapillary,762759514391120,801ffffffffffff,811f3ffffffffff,821f17fffffffff,831f13fffffffff,841f139ffffffff,851f139bfffffff,861f1398fffffff,871f1398dffffff,881f1398ddfffff,891f1398dcbffff,8a1f1398dcaffff,8b1f1398dcaefff,8c1f1398dcae1ff,8d1f1398dcae07f,8e1f1398dcae05f,8f1f1398dcae05e
10,a794bad2-a826-47c7-8417-54ef6e9d3fd5,Mapillary,1085842441905172,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa682bffff,8a2b9aa682a7fff,8b2b9aa682a3fff,8c2b9aa682a3dff,8d2b9aa682a3cff,8e2b9aa682a3cef,8f2b9aa682a3cee
11,a3ddd13d-a6bf-4abe-bc97-0e896ddbb58c,Mapillary,129497249124621,801ffffffffffff,811f3ffffffffff,821f17fffffffff,831f13fffffffff,841f139ffffffff,851f139bfffffff,861f1398fffffff,871f1398dffffff,881f1398ddfffff,891f1398dcbffff,8a1f1398dc97fff,8b1f1398dc94fff,8c1f1398dc941ff,8d1f1398dc94c7f,8e1f1398dc94c4f,8f1f1398dc94c49
12,97fb0fd9-6b8e-480b-967b-ab86c89f427b,Mapillary,2643856569248041,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b9fffff,891fb666b83ffff,8a1fb666b81ffff,8b1fb666b81cfff,8c1fb666b81cbff,8d1fb666b81cbbf,8e1fb666b81cba7,8f1fb666b81cba2
13,964c05a7-364a-4a23-9e36-b9dae57e6709,Mapillary,216443753376621,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa6823ffff,8a2b9aa68207fff,8b2b9aa68200fff,8c2b9aa68201dff,8d2b9aa68201dbf,8e2b9aa68201d87,8f2b9aa68201d84
14,8b301438-9498-489a-996e-2ec60cef760f,Mapillary,801320764136858,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b9fffff,891fb666b9bffff,8a1fb666b9a7fff,8b1fb666b9a6fff,8c1fb666b9a69ff,8d1fb666b9a613f,8e1fb666b9a68d7,8f1fb666b9a6125
15,6fa67d91-0bf5-4914-a1c5-4859a6cedfbd,Mapillary,531109791599907,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666babffff,8a1fb666bab7fff,8b1fb666bab0fff,8c1fb666bab63ff,8d1fb666bab0cbf,8e1fb666bab0c97,8f1fb666bab0c93
16,6c0dcd34-b7da-4324-8541-61da9c879b2f,Mapillary,555931662062869,802bfffffffffff,812bbffffffffff,822b9ffffffffff,832b9afffffffff,842b9abffffffff,852b9aa7fffffff,862b9aa6fffffff,872b9aa68ffffff,882b9aa683fffff,892b9aa6823ffff,8a2b9aa68217fff,8b2b9aa68216fff,8c2b9aa682165ff,8d2b9aa682160bf,8e2b9aa6821654f,8f2b9aa68216549
17,5a51ac08-742a-4808-90e9-440c6c03461c,Mapillary,305726617676665,801ffffffffffff,811f3ffffffffff,821f17fffffffff,831f13fffffffff,841f139ffffffff,851f139bfffffff,861f1398fffffff,871f1398dffffff,881f1398ddfffff,891f1398dcbffff,8a1f1398dc8ffff,8b1f1398dc8bfff,8c1f1398dc8bbff,8d1f1398dc8babf,8e1f1398dc8ba87,8f1f1398dc8ba83
18,58c85061-021f-4122-b3b5-a2470f35c341,Mapillary,871477950414260,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b1fffff,891fb666b13ffff,8a1fb666b11ffff,8b1fb666b11afff,8c1fb666b11abff,8d1fb666b11aaff,8e1fb666b11aacf,8f1fb666b11aacd
19,4f0e9070-13a5-4ea3-bcb9-6666862b2fad,Mapillary,390987432221616,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666bbfffff,891fb666bb3ffff,8a1fb666bb0ffff,8b1fb666bb08fff,8c1fb666bb08bff,8d1fb666bb08abf,8e1fb666bb08a97,8f1fb666bb08a91
20,4d2c563d-5241-49d1-addf-3c096c0534a2,Mapillary,886187308918211,8019fffffffffff,811fbffffffffff,821fb7fffffffff,831fb6fffffffff,841fb67ffffffff,851fb667fffffff,861fb666fffffff,871fb666bffffff,881fb666b1fffff,891fb666b17ffff,8a1fb666b177fff,8b1fb666b174fff,8c1fb666b174dff,8d1fb666b174cbf,8e1fb666b174ca7,8f1fb666b174ca3
